River,Year,Fraction,Unit,Value,,,,,,,,,,,,,
Sandusky,2014,Spring TP FWMC,milligrams / liter,0.414,,,,,,,,,,,,,
Sandusky,2015,Spring TP FWMC,milligrams / liter,0.361,,,,,,,,,,,,,
Sandusky,2016,Spring TP FWMC,milligrams / liter,0.326,,,,,,,,,,,,,
Sandusky,2008,Spring DRP FWMC,milligrams / liter,0.072,,,,,,,,,,,,,
Sandusky,2009,Spring DRP FWMC,milligrams / liter,0.067,,,,,,,,,,,,,
Sandusky,2010,Spring DRP FWMC,milligrams / liter,0.09,,,,,,,,,,,,,
Sandusky,2011,Spring DRP FWMC,milligrams / liter,0.101,,,,,,,,,,,,,
Sandusky,2012,Spring DRP FWMC,milligrams / liter,0.057,,,,,,,,,,,,,
Sandusky,2013,Spring DRP FWMC,milligrams / liter,0.101,,,,,,,,,,,,,
Sandusky,2014,Spring DRP FWMC,milligrams / liter,0.092,,,,,,,,,,,,,
Sandusky,2015,Spring DRP FWMC,milligrams / liter,0.101,,,,,,,,,,,,,
Sandusky,2016,Spring DRP FWMC,milligrams / liter,0.062,,,,,,,,,,,,,
Sandusky,2008,Spring Discharge,million cubic meters,963,,,,,,,,,,,,,
Sandusky,2009,Spring Discharge,million cubic meters,444,,,,,,,,,,,,,
Sandusky,2010,Spring Discharge,million cubic meters,733,,,,,,,,,,,,,
Sandusky,2011,Spring Discharge,million cubic meters,1356,,,,,,,,,,,,,
Sandusky,2012,Spring Discharge,million cubic meters,283,,,,,,,,,,,,,
Sandusky,2013,Spring Discharge,million cubic meters,887,,,,,,,,,,,,,
Sandusky,2014,Spring Discharge,million cubic meters,654,,,,,,,,,,,,,
Sandusky,2015,Spring Discharge,million cubic meters,911,,,,,,,,,,,,,
Sandusky,2016,Spring Discharge,million cubic meters,499,,,,,,,,,,,,,
